id,name
01ARRNX,Economia urbana
01AULNX,Elettrotecnica
01FLXNX,Impostazione progettuale dell'autoveicolo
01MOFNX,Misure
01NJANX,Sicurezza e legislazione dell'ambiente e del territorio
01OELNX,Generazione fotovoltaica ed eolica di energia elettrica
01OFYNX,Company economics
01OYZNX,"Energia, progresso e sostenibilità"
01PIPNX,Storia delle cose. Anatomia e antropologia degli oggetti
01POGNX,"Onde coerenti: laser, olografia, teletrasporto"
01POSNX,Processi di re-impiego e valorizzazione energetica
01QFXNX,Reti e sistemi complessi: fenomeni fisici e interazioni sociali
01QMCNX,Sperimentazione e progettazione di tecnologie energetiche
01QNKNX,Ottimizzazione per il problem solving
01QYTNX,"Affidabilità, sicurezza e manutenzione per l'azienda"
01QYYNX,Compatibilità elettromagnetica nell'integrazione dei sistemi
01QZBNX,"Fibre: preparazione, proprietà e tecnologie di trasformazione"
01QZJNX,Rischio sismico
01QZNNX,Visualizzazione dell'informazione quantitativa
01QZONX,Ingegneria delle cellule e dei tessuti
01QZQNX,Ingegneria nelle terapie medico-chirurgiche
01RKCNX,Algebra lineare e geometria
01SANNX,Cambiamenti climatici e socio economici
01SAONX,Droni per il rilievo territoriale e architettonico
01SAQNX,Selezione e progettazione dei materiali per applicazioni ingegneristiche (SPMAI)
01SARNX,Architettura tecnica e cultura del costruito
01SUMNX,Science and technology studies
01SUNNX,Calcolo numerico: metodi e software
01SUONX,Strumenti e metodi per la sostenibilità dei sistemi edilizi e territoriali
01UEFNX,Digital communication laboratory
01UEGNX,Open and virtualized networks
01UEHNX,Introduzione all'informazione e calcolo quantistico
01UEINX,Tecnologie per IoT
01UEJNX,Laboratorio di internet
01UELNX,Tecniche della rappresentazione digitale
02BDYNX,Gestione industriale della qualità
02BNYNX,Matematica applicata
02EQYNX,Controllo dei sistemi meccanici
02JNUNX,Introduzione alle nanotecnologie
02MTKNX,Electromagnetic fields
02MZGNX,Applied electronics
02NMLNX,Sistemi di propulsione elettrica per i trasporti
02TUMNX,Applied signal processing laboratory
03BXYNX,Processi dell'industria alimentare
03ENUNX,Tecnologie ambientali dei siti produttivi
03IOYNX,Elementi di fisica nucleare
03KZTNX,Valutazioni di impatto ambientale
03LTJNX,Electronic measurements
03NVCNX,Teoria dei segnali e delle comunicazioni
03OIGNX,Electronic Circuits
04ATINX,Elettronica applicata
04OIHNX,Digital systems electronics
05AGPNX,Campi elettromagnetici
05MNONX,Algoritmi e programmazione
06LTHNX,Electronic devices
07LKINX,Lingua inglese I livello
08ATNNX,Elettronica dei sistemi digitali
08BQXNX,Metodi matematici per l'ingegneria
11APMNX,Dispositivi elettronici
12EIUNX,Circuiti elettronici
14BHDNX,Informatica
15AHMNX,Chimica
16ACFNX,Analisi matematica I
17AXONX,Fisica I
19AKSNX,Controlli automatici
20AXPNX,Fisica II
23ACINX,Analisi matematica II
