id,name
04LTMLP,Communication networks
02LTHLP,Electronic devices
05LSLLP,Automatic control
04OIGLP,Electronic Circuits
02MZGLP,Applied electronics
05MYMLP,Digital transmission
01QVULP,Electromagnetic waves and antennas
01TUMLP,Applied signal processing laboratory
01OIHLP,Digital systems electronics
03LTJLP,Electronic measurements
01NNIOQ,Sistemi digitali integrati
01NNKOQ,Testing and certification
01NNLOQ,High speed electron devices
01NNMOQ,Finite element modelling
01NNNOQ,Elettronica analogica e di potenza
01NNSOQ,Radar and remote sensing
01NOFOQ,Microwave electronics
01NOHOQ,Sistemi elettronici a basso consumo
01NOKOQ,Electronic systems engineering
01NOMOQ,Integrated systems technology
01NOPOQ,Photonic devices
01NOYOQ,Microelectronic systems
01NRWOQ,Communication systems
01NVDOQ,Analog and telecommunication electronics
01NVEOQ,Radiating electromagnetic systems
01NVHOQ,Guiding electromagnetic systems
01NVIOQ,Sistemi di misura e sensori
01NVLOQ,Microelettronica digitale
01NVSOQ,Advanced antenna engineering
01NVTOQ,Computer aided design of communication systems
01NWDOQ,Mobile and sensor networks
01NWMOQ,Electronics for embedded systems
01NWNOQ,Modeling and optimization of embedded systems
01OBCOQ,Codesign methods and tools
01OUWOQ,Convex optimization and engineering applications
01OVBOQ,Electromagnetic fields and biological tissues: effects and medical applications
01OVEOQ,Innovative wireless platforms for the internet of things
01OVFOQ,Bioinformatics
01PEDOQ,Automation and planning of production systems
01PEGOQ,Advanced electronic drives
01POHOQ,Radio frequency integrated circuits
01POIOQ,Analog integrated circuits
01POJOQ,Projects and laboratory on communication systems
01QYDOQ,Big data: architectures and data analytics
01RKZOQ,Testing and fault tolerance
01RXTOQ,Nanomaterials and nanotechnologies for energy applications
01SOKOQ,Integrazione di sistemi embedded
01TVPOQ,Industrial Photonics
01TWOOQ,Open Optical Networks
01TWPOQ,Signal Processing and Wireless Transmission Lab
01TWQOQ,Signal Processing and Optical Transmission Lab
01TZFOQ,Engineering Empathy
01UAXOQ,Micro and Nanoelectronic Devices
01UAYOQ,CAD of semiconductor devices
01UAZOQ,Electronic transport in crystalline and organic semiconductors
01UBAOQ,Nanoelectronic systems
01UBCOQ,Microelectronics and Micro/Nanosystems Technologies
01UBDOQ,Introduction to MEMS and Bio-MEMS
01UBFOQ,Design of microsystems
01VDROQ,Wireless Integrated Circuits and Systems
02GQCOQ,Integrated systems architecture
02LPNOQ,Power electronics
02LSEOQ,Computer architectures
02LVNOQ,Synthesis and optimization of digital systems
02MIVOQ,Digital Electronics
02MXBOQ,Passive Optical Components
02OUXOQ,Advanced design for signal integrity and compliance
02SPZOQ,Tecnologie digitali e società
02UDOOQ,Sistemi robotici
03JSGOQ,Digital Communications
04JEZOQ,Operating systems
05BVCOQ,Optoelettronica
01ARRNX,Economia urbana
01MOFNX,Misure
01QZBNX,"Fibre: preparazione, proprietà e tecnologie di trasformazione"
01QZJNX,Rischio sismico
01QZONX,Ingegneria delle cellule e dei tessuti
01QZQNX,Ingegneria nelle terapie medico-chirurgiche
01SAQNX,Selezione e progettazione dei materiali per applicazioni ingegneristiche (SPMAI)
01SARNX,Architettura tecnica e cultura del costruito
01SUONX,Strumenti e metodi per la sostenibilità dei sistemi edilizi e territoriali
02MTKNX,Electromagnetic fields
03BXYNX,Processi dell'industria alimentare
03KZTNX,Valutazioni di impatto ambientale
03LTJNX,Electronic measurements
03NVCNX,Teoria dei segnali e delle comunicazioni
03OIGNX,Electronic Circuits
04OIHNX,Digital systems electronics
05AGPNX,Campi elettromagnetici
06LTHNX,Electronic devices
08ATNNX,Elettronica dei sistemi digitali
11APMNX,Dispositivi elettronici
12EIUNX,Circuiti elettronici
23ACINX,Analisi matematica II
20AXPNX,Fisica II
08BQXNX,Metodi matematici per l'ingegneria
01AULNX,Elettrotecnica
